UD,time_s,Vcommand_mps,Vcommand_RPM
D,1629070706.8536625,-0.008622750177609393,-258.6825053282818
D,1629070706.9648962,-0.008699324371406738,-260.9797311422021
D,1629070707.0764325,-0.008741906987642836,-262.2572096292851
D,1629070707.187233,-0.008834716216350935,-265.04148649052803
D,1629070707.2980013,-0.008924231628127171,-267.72694884381514
D,1629070707.4235866,-0.008975300773407363,-269.2590232022209
D,1629070707.5323403,-0.009087590705979191,-272.6277211793757
D,1629070707.6414957,-0.009119425049764835,-273.582751492945
D,1629070707.7473745,-0.009253287489366184,-277.5986246809855
D,1629070707.851033,-0.009330959025119927,-279.9287707535978
D,1629070707.9628146,-0.009403687860039107,-282.1106358011732
D,1629070708.0733206,-0.009481124029086442,-284.43372087259326
D,1629070708.1847441,-0.009534492740802357,-286.0347822240707
D,1629070708.2945726,-0.009588821672823645,-287.66465018470933
D,1629070708.4053943,-0.009704747041192839,-291.1424112357852
D,1629070708.516131,-0.009781928563270887,-293.4578568981266
D,1629070708.6291316,-0.009830830048613301,-294.92490145839906
D,1629070708.7632487,-0.001493,-44.78999999999999
D,1629070708.8766418,-0.0013810000000000003,-41.43000000000001
D,1629070708.9932196,-0.0012745000000000007,-38.23500000000002
D,1629070709.1024425,-0.0011867500000000003,-35.602500000000006
D,1629070709.2138762,-0.0011099999999999999,-33.3
D,1629070709.321822,-0.0010472499999999996,-31.417499999999986
D,1629070709.4348314,-0.0009935,-29.805
D,1629070709.548304,-0.0009525000000000007,-28.57500000000002
D,1629070709.658477,-0.0009255,-27.765
D,1629070709.772001,-0.0009090000000000001,-27.270000000000003
D,1629070709.8762565,-0.0009000000000000008,-27.000000000000025
D,1629070709.9883058,-0.0008895000000000001,-26.685000000000002
D,1629070710.1021225,-0.0008790000000000007,-26.37000000000002
D,1629070710.225595,-0.0008684999999999999,-26.054999999999996
D,1629070710.33489,-0.0008587499999999998,-25.762499999999992
D,1629070710.4532595,-0.0008489999999999998,-25.469999999999995
D,1629070710.5777678,-0.0008382500000000001,-25.147500000000004
D,1629070710.6988547,-0.0008279999999999996,-24.83999999999999
D,1629070710.8228471,-0.0008175000000000002,-24.525000000000006
D,1629070710.9334662,-0.0008084999999999995,-24.254999999999985
D,1629070711.0349152,-0.0008002499999999996,-24.00749999999999
D,1629070711.154997,-0.0007902500000000007,-23.70750000000002
D,1629070711.2598953,-0.0007820000000000008,-23.460000000000022
D,1629070711.3719623,-0.0007730000000000001,-23.190000000000005
D,1629070711.4723852,-0.0007652500000000007,-22.95750000000002
D,1629070711.5784266,-0.0007567500000000005,-22.702500000000015
D,1629070711.6919322,-0.0007482500000000003,-22.44750000000001
D,1629070711.8034885,-0.0007392499999999997,-22.177499999999988
D,1629070711.9234533,-0.0007302500000000004,-21.907500000000013
D,1629070712.0287755,-0.0007227499999999999,-21.682499999999997
D,1629070712.135096,-0.0007144999999999999,-21.434999999999995
D,1629070712.2463858,-0.0007067500000000005,-21.20250000000001
D,1629070712.3576086,-0.0006985000000000006,-20.955000000000016
D,1629070712.4693377,-0.000691,-20.729999999999997
D,1629070712.5805666,-0.0006837499999999997,-20.51249999999999
D,1629070712.6912465,-0.0006762500000000005,-20.287500000000016
D,1629070712.8019445,-0.0006684999999999997,-20.054999999999993
D,1629070712.9142027,-0.0006605000000000001,-19.815
D,1629070713.0397666,-0.0006525000000000003,-19.57500000000001
D,1629070713.1535654,-0.0006449999999999997,-19.34999999999999
D,1629070713.268267,-0.0006375000000000006,-19.125000000000018
D,1629070713.3769085,-0.0006305000000000005,-18.915000000000013
D,1629070713.4851527,-0.0006237500000000007,-18.71250000000002
D,1629070713.6020954,-0.0006162500000000002,-18.487500000000004
D,1629070713.7126327,-0.0006092500000000001,-18.277500000000003
D,1629070713.8238769,-0.0006025000000000003,-18.075000000000006
D,1629070713.9346516,-0.0005960000000000007,-17.88000000000002
D,1629070714.0475473,-0.0005890000000000007,-17.67000000000002
D,1629070714.1584475,-0.0005822500000000008,-17.467500000000026
D,1629070714.269466,-0.0005757499999999999,-17.272499999999997
D,1629070714.4111207,-0.0005675,-17.025
D,1629070714.5164645,-0.0005614999999999995,-16.844999999999985
D,1629070714.6471624,-0.0005537500000000001,-16.6125
D,1629070714.750224,-0.0005482500000000001,-16.447500000000005
D,1629070714.861035,-0.0005417500000000006,-16.252500000000015
D,1629070714.9726555,-0.0005357500000000001,-16.0725
D,1629070715.0827184,-0.0005297499999999997,-15.892499999999993
