UD,target_m,time_s,Vcommand_mps,Vcommand_RPM
D,-0.2,1629072390.2457747,-0.013748386227859684,-412.4515868357905
D,-0.2,1629072390.3553064,-0.013814222564474055,-414.42667693422163
D,-0.2,1629072390.4668522,-0.013949374080055654,-418.48122240166964
D,-0.2,1629072390.5790255,-0.013871889511430112,-416.15668534290336
D,-0.2,1629072390.6875796,-0.013944325246731644,-418.32975740194934
D,-0.2,1629072390.7972796,-0.014063097880486725,-421.8929364146017
D,-0.2,1629072390.9112694,-0.014211029857392692,-426.33089572178073
D,-0.2,1629072391.0203533,-0.01445069198700982,-433.52075961029453
D,-0.2,1629072391.1324046,-0.014578728769519024,-437.36186308557075
D,-0.2,1629072391.2411103,-0.01471882621687177,-441.5647865061531
D,-0.2,1629072391.3529515,-0.014855305858102862,-445.6591757430859
D,-0.2,1629072391.4653137,-0.014910402561510256,-447.31207684530773
D,-0.2,1629072391.5735238,-0.01512795054567457,-453.8385163702371
D,-0.2,1629072391.684505,-0.015223920142106809,-456.7176042632043
D,-0.2,1629072391.7965345,-0.01535220788410333,-460.5662365230999
D,-0.2,1629072391.9058537,-0.015431359542522317,-462.94078627566955
D,-0.2,1629072392.0219562,-0.015611911265898958,-468.3573379769688
D,-0.2,1629072392.1282396,-0.015740586439334615,-472.2175931800384
D,-0.2,1629072392.2405515,-0.015743003353871014,-472.2901006161304
D,-0.2,1629072392.348745,-0.01586036090763982,-475.8108272291947
D,-0.2,1629072392.4611979,-0.015980930784988922,-479.4279235496677
D,-0.2,1629072392.5728118,-0.015964985444062413,-478.94956332187235
D,-0.2,1629072392.6812432,-0.016332735736727427,-489.98207210182284
D,-0.2,1629072392.7992957,-0.016179218942213174,-485.3765682663952
D,-0.2,1629072392.9041986,-0.016289642625120573,-488.6892787536172
D,-0.2,1629072393.0168095,-0.016528704783861505,-495.86114351584513
D,-0.2,1629072393.1299255,-0.016788108006247863,-503.6432401874359
D,-0.2,1629072393.2377064,-0.01683315944686295,-504.99478340588854
D,-0.2,1629072393.3507426,-0.01695529295704346,-508.65878871130377
D,-0.2,1629072393.462716,-0.017219095450778415,-516.5728635233525
D,-0.2,1629072393.5697238,-0.017165234366654927,-514.9570309996478
D,-0.2,1629072393.676096,-0.017112901304822667,-513.38703914468
D,-0.2,1629072393.790502,-0.01716390672942327,-514.9172018826981
D,-0.2,1629072393.9021013,-0.017269000139581468,-518.0700041874439
D,-0.2,1629072394.0106578,-0.01760886295430587,-528.2658886291761
D,-0.2,1629072394.1228178,-0.01757470650955841,-527.2411952867523
D,-0.2,1629072394.234961,-0.0176848528235838,-530.545584707514
D,-0.2,1629072394.342579,-0.017872125808147035,-536.1637742444111
D,-0.2,1629072394.4540122,-0.017987092539081043,-539.6127761724313
D,-0.2,1629072394.5660641,-0.018031266358986914,-540.9379907696075
D,-0.2,1629072394.6750646,-0.017994572224265565,-539.8371667279669
D,-0.2,1629072394.7869596,-0.01809591212896556,-542.8773638689668
D,-0.2,1629072394.8966522,-0.017710392033027968,-531.3117609908389
D,-0.2,1629072395.008657,-0.01778130318768811,-533.4390956306432
D,-0.2,1629072395.1211462,-0.017998422370377454,-539.9526711113236
D,-0.2,1629072395.2285707,-0.018140122292038374,-544.2036687611512
D,-0.2,1629072395.340335,-0.018224024621278402,-546.720738638352
D,-0.2,1629072395.4530046,-0.01816870561214002,-545.0611683642006
D,-0.2,1629072395.561384,-0.017706518130323857,-531.1955439097156
D,-0.2,1629072395.6727772,-0.017748132346077264,-532.443970382318
D,-0.2,1629072395.7849376,-0.01704963957077546,-511.48918712326383
D,-0.2,1629072395.8933778,-0.017688936808435127,-530.6681042530538
D,-0.2,1629072396.0054235,-0.016689178792958656,-500.6753637887596
D,-0.2,1629072396.1183279,-0.01666007244256832,-499.80217327704963
D,-0.2,1629072396.228805,0.0,0.0
D,-0.2,1629072396.3480086,0.0,0.0
D,-0.2,1629072396.4609063,0.0,0.0
D,-0.2,1629072396.5673108,0.0,0.0
D,-0.2,1629072396.6795423,0.0,0.0
D,-0.2,1629072396.7907367,0.0,0.0
D,-0.2,1629072396.9011667,0.0,0.0
D,-0.2,1629072397.0041804,0.0,0.0
D,-0.2,1629072397.120623,0.0,0.0
