time_s,cpu_t_degC,motor_command,Z1_m,Z2_m,X_m,Y_m,TZ1,TZ2,TX,TY,WOB_gm,active_power_W,current_mA,arduino_timestamp_ms,tacho_rpm,imu_x_g,imu_y_g,imu_z_g,
1623529200.2455091,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.24412572474824534,-0.21361000915471468,0.3051571559353067,-0.3051571559353067,-6.462743622080045,124.83871459960938,1159.6868896484375,0.0,0.0,0.0,0.0,0.0,
1623529200.3649106,72.062,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.8849557522123894,-0.21361000915471468,0.0,0.091547146780592,-5.624759502630443,114.62215423583984,1090.0535888671875,0.0,0.0,0.0,0.0,0.0,
1623529200.4202187,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.42722001830942935,0.0,-0.91547146780592,-0.6408300274641441,-1412.089785216539,114.62215423583984,1090.0535888671875,0.0,0.0,0.0,0.0,0.0,
1623529200.6258934,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.45773573390296,-0.061031431187061336,-0.3967043027158987,-0.45773573390296,-6.178043889190116,114.62215423583984,1090.0535888671875,0.0,0.0,0.0,0.0,0.0,
1623529200.7342281,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,0.15257857796765334,-0.091547146780592,-0.4882514494964907,0.274641440341776,-4.835120620841396,114.62215423583984,1090.0535888671875,0.0,0.0,0.0,0.0,0.0,
1623529200.7895696,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.45773573390296,0.12206286237412267,0.0,-0.15257857796765334,-5.7590518294653155,114.62215423583984,1090.0535888671875,0.0,0.0,0.0,0.0,0.0,
1623529200.8978908,69.627,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.8849557522123894,0.0,0.091547146780592,-0.6408300274641441,-6.274734364511224,114.62215423583984,1090.0535888671875,0.0,0.0,0.0,0.0,0.0,
1623529200.9532146,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.12206286237412267,-0.33567287152883735,0.24412572474824534,0.091547146780592,-5.447493631208412,114.62215423583984,1090.0535888671875,5713,0.0,0.0137,0.2881,0.9541,
1623529201.10335,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.8004272200183093,-0.42722001830942935,0.15257857796765334,-0.15257857796765334,-4.491332264144123,114.62215423583984,1090.0535888671875,5713,0.0,0.0137,0.2881,0.9541,
1623529201.218141,70.114,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.549282880683552,0.12206286237412267,-0.061031431187061336,-0.091547146780592,-9.43866158474081,108.26528930664062,1045.9625244140625,5713,0.0,0.0137,0.2881,0.9541,
1623529201.3422408,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.91547146780592,-0.21361000915471468,0.091547146780592,-0.7018614586512053,-5.404520086621253,108.26528930664062,1045.9625244140625,5713,0.0,0.0137,0.2881,0.9541,
1623529201.3976119,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.732377174244736,0.0,-0.15257857796765334,-0.3967043027158987,-5.08221850221756,108.26528930664062,1045.9625244140625,5713,0.0,0.0137,0.2881,0.9541,
1623529201.5059152,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.0375343301800428,-0.091547146780592,0.366188587122368,-0.15257857796765334,-8.847775346667373,108.26528930664062,1045.9625244140625,5733,0.0,0.0123,0.2881,0.9404,
1623529201.5612152,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.6408300274641441,-0.061031431187061336,-0.3967043027158987,0.5797985962770826,-7.880870593456294,108.26528930664062,1045.9625244140625,5733,0.0,0.0123,0.2881,0.9404,
1623529201.6695712,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.5797985962770826,0.0,-0.24412572474824534,-0.7934086054317974,-7.311471127676437,108.26528930664062,1045.9625244140625,5733,0.0,0.0123,0.2881,0.9404,
1623529201.7248816,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.0375343301800428,0.3051571559353067,0.5187671650900214,-0.3051571559353067,-5.458237017355202,108.26528930664062,1045.9625244140625,5733,0.0,0.0123,0.2881,0.9404,
1623529201.8332508,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.45773573390296,-0.030515715593530668,0.0,-0.274641440341776,-4.088455283639507,108.26528930664062,1045.9625244140625,5733,0.0,0.0123,0.2881,0.9404,
1623529201.94165,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.464754348489472,0.21361000915471468,0.3051571559353067,-0.24412572474824534,-6.323079602171778,108.26528930664062,1045.9625244140625,5733,0.0,0.0123,0.2881,0.9404,
1623529201.996927,69.14,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7628928898382668,0.21361000915471468,0.45773573390296,-0.33567287152883735,-6.983797850199348,106.43824768066406,1026.55810546875,5787,0.0,0.0128,0.2853,0.9543,
1623529202.2026596,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.15257857796765334,0.061031431187061336,0.549282880683552,0.6713457430576747,-6.607779335061707,106.43824768066406,1026.55810546875,5787,0.0,0.0128,0.2853,0.9543,
1623529202.3331213,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.8544400366188587,-0.15257857796765334,-0.7628928898382668,-0.24412572474824534,-5.366918235107489,106.43824768066406,1026.55810546875,5787,0.0,0.0128,0.2853,0.9543,
1623529202.441499,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.366188587122368,-0.12206286237412267,-0.274641440341776,-0.183094293561184,-5.898715849373582,106.43824768066406,1026.55810546875,5787,0.0,0.0128,0.2853,0.9543,
1623529202.4967773,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.6713457430576747,-0.061031431187061336,0.24412572474824534,-0.091547146780592,2889.4545940966145,106.43824768066406,1026.55810546875,5924,0.0,0.0132,0.2881,0.9554,
1623529202.7025125,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.098565761367104,0.091547146780592,-0.21361000915471468,-0.24412572474824534,-1696.7465445618805,106.43824768066406,1026.55810546875,5924,0.0,0.0132,0.2881,0.9554,
1623529202.8484614,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.183094293561184,0.030515715593530668,0.183094293561184,0.0,-288.5894355298526,107.68753051757812,1033.7177734375,5924,0.0,0.0132,0.2881,0.9554,
1623529203.0010097,72.062,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.1595971925541653,0.183094293561184,-0.366188587122368,0.45773573390296,-5.0499883437771915,107.68753051757812,1033.7177734375,5924,0.0,0.0132,0.2881,0.9554,
1623529203.1469855,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.8544400366188587,-0.183094293561184,-0.030515715593530668,0.732377174244736,-5.528069027309336,107.68753051757812,1033.7177734375,5924,0.0,0.0132,0.2881,0.9554,
1623529203.25633,71.575,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.0680500457735733,0.030515715593530668,0.6103143118706134,-0.24412572474824534,-7.5155954644654415,107.68753051757812,1033.7177734375,5993,0.0,0.0122,0.2877,0.953,
1623529203.374786,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.3967043027158987,0.091547146780592,0.183094293561184,-0.366188587122368,-5.635502888777233,107.68753051757812,1033.7177734375,5993,0.0,0.0122,0.2877,0.953,
1623529203.430121,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.5868172108635947,-0.061031431187061336,-0.823924321025328,-0.42722001830942935,-4.990899719969847,107.68753051757812,1033.7177734375,5993,0.0,0.0122,0.2877,0.953,
1623529203.5384438,71.088,0.0,2e-05,2.3625e-05,0.00011,0.0001,-1.007018614586512,0.061031431187061336,0.030515715593530668,-0.12206286237412267,-5.3454314628139095,107.68753051757812,1033.7177734375,5993,0.0,0.0122,0.2877,0.953,
1623529203.5937772,70.601,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.366188587122368,0.21361000915471468,-0.5797985962770826,0.030515715593530668,-5.78591029483229,106.46763610839844,1031.4722900390625,5993,0.0,0.0122,0.2877,0.953,
1623529203.7020805,72.549,0.0,2e-05,2.3625e-05,0.00011,0.0001,-0.7018614586512053,0.0,-0.15257857796765334,0.12206286237412267,-508.613983816107,106.46763610839844,1031.4722900390625,6062,0.0,0.011,0.288,0.9553,
