pos_0_m, torque_0_Percent,pos_1_m, torque_1_Percent,pos_2_m, torque_2_Percent,pos_3_m, torque_3_Percent,
-0.2594875,-13.274336283185841,7.875e-06,-1.5257857796765335,-0.05928,-1.190112908147696,5e-05,2.0750686603600856,
-0.259525,-8.635947512969178,7.875e-06,-1.3426914861153494,-0.05927,-0.061031431187061336,4e-05,0.9459871833994506,
-0.25956,-3.2651815685077814,1.0500000000000001e-05,0.183094293561184,-0.05928,-3.112602990540128,4e-05,1.1290814769606348,
-0.2595925,-5.49282880683552,1.0500000000000001e-05,-0.9459871833994506,-0.05928,-0.061031431187061336,5e-05,3.5398230088495577,
-0.2596325,-6.011595971925542,1.0500000000000001e-05,-1.0375343301800428,-0.05928,1.098565761367104,4e-05,2.532804394263045,
-0.2596675,-2.3191943851083305,7.875e-06,-0.9459871833994506,-0.0593,-1.4952700640830028,4e-05,0.9459871833994506,
-0.2596975,-8.60543179737565,7.875e-06,-3.2041501373207204,-0.05931,-2.929508696978944,4e-05,1.8919743667989013,
-0.2597325,-10.772047604516326,7.875e-06,-0.91547146780592,-0.0593,-0.6713457430576747,4e-05,0.45773573390296,
-0.25977,-7.354287458040892,7.875e-06,0.6408300274641441,-0.05928,1.2816600549282882,4e-05,-0.42722001830942935,
-0.2598,-7.506866036008544,7.875e-06,-1.9530057979859627,-0.05927,0.549282880683552,4e-05,0.5797985962770826,
-0.259835,-8.086664632285627,7.875e-06,-1.37320720170888,-0.05928,-1.6783643576441867,4e-05,-0.061031431187061336,
-0.2598675,-2.7769301190112907,7.875e-06,-1.8614586512053708,-0.05929,0.8544400366188587,4e-05,1.3121757705218187,
-0.259905,-8.300274641440343,7.875e-06,1.098565761367104,-0.05928,0.8544400366188587,4e-05,2.1361000915471466,
-0.2599425,-5.645407384803174,7.875e-06,0.732377174244736,-0.05927,-1.7393957888312481,4e-05,-0.9765028989929814,
-0.2599775,-1.922490082392432,7.875e-06,-1.0375343301800428,-0.05927,-0.5187671650900214,4e-05,2.1666158071406776,
-0.2600125,-3.387244430881904,7.875e-06,-0.6103143118706134,-0.05928,-1.8004272200183093,4e-05,2.410741531888923,
-0.26004,-5.675923100396705,7.875e-06,-1.37320720170888,-0.05928,0.42722001830942935,3e-05,0.091547146780592,
-0.2600725,-6.347268843454379,7.875e-06,-0.5797985962770826,-0.05927,1.2206286237412267,4e-05,0.5797985962770826,
-0.260105,-4.180653036313702,7.875e-06,-0.6103143118706134,-0.05928,0.3967043027158987,4e-05,0.4882514494964907,
-0.26014,-7.995117485505034,1.0500000000000001e-05,0.7934086054317974,-0.05929,-2.654867256637168,4e-05,0.7934086054317974,
-0.2601725,-8.361306072627404,7.875e-06,-1.190112908147696,-0.05928,0.7628928898382668,4e-05,0.823924321025328,
-0.260205,-10.52792187976808,7.875e-06,-1.0680500457735733,-0.05929,1.5257857796765335,4e-05,0.45773573390296,
-0.26024,-8.788526090936832,7.875e-06,-0.3051571559353067,-0.0593,-1.1595971925541653,4e-05,1.190112908147696,
-0.26027,-7.049130302105584,1.0500000000000001e-05,0.183094293561184,-0.05929,0.366188587122368,5e-05,0.732377174244736,
-0.2603075,-6.164174549893195,1.0500000000000001e-05,1.098565761367104,-0.05929,-1.4037229173024106,5e-05,0.21361000915471468,
-0.2603375,-1.464754348489472,7.875e-06,-1.2206286237412267,-0.05929,0.091547146780592,5e-05,0.45773573390296,
-0.260375,-3.66188587122368,7.875e-06,2.197131522734208,-0.05928,1.0375343301800428,5e-05,1.6783643576441867,
-0.2604075,-8.330790357033873,1.0500000000000001e-05,-2.2276472383277386,-0.05928,-0.7628928898382668,5e-05,1.8919743667989013,
-0.2604475,-5.248703082087275,7.875e-06,-0.7018614586512053,-0.05928,0.0,5e-05,0.549282880683552,
-0.260475,-0.8849557522123894,1.0500000000000001e-05,-0.42722001830942935,-0.05928,-0.8544400366188587,5e-05,1.098565761367104,
-0.2605075,-4.607873054623131,1.0500000000000001e-05,-1.37320720170888,-0.0593,0.12206286237412267,5e-05,1.9530057979859627,
-0.2605425,-6.255721696673787,1.0500000000000001e-05,-1.2206286237412267,-0.05928,1.5257857796765335,4e-05,1.007018614586512,
-0.26058,-3.9365273115654564,1.0500000000000001e-05,-0.5187671650900214,-0.05928,-0.12206286237412267,4e-05,1.9835215135794935,
-0.2606075,-2.654867256637168,1.0500000000000001e-05,-1.1290814769606348,-0.05928,0.7628928898382668,4e-05,-0.274641440341776,
-0.260645,-8.20872749465975,1.0500000000000001e-05,-0.6408300274641441,-0.05929,1.83094293561184,4e-05,0.5187671650900214,
-0.26068,-4.333231614281355,1.0500000000000001e-05,0.366188587122368,-0.05928,-0.33567287152883735,4e-05,1.9530057979859627,
-0.260705,-1.4037229173024106,1.0500000000000001e-05,-0.549282880683552,-0.0593,0.3051571559353067,4e-05,1.9530057979859627,
-0.2607425,-6.988098870918523,1.3125e-05,0.33567287152883735,-0.05929,-0.42722001830942935,4e-05,1.556301495270064,
-0.2607775,-5.859017393957888,1.3125e-05,-0.9765028989929814,-0.05928,-0.4882514494964907,4e-05,0.030515715593530668,
-0.260815,-2.74641440341776,1.0500000000000001e-05,-1.4342386328959413,-0.05929,0.24412572474824534,4e-05,1.3121757705218187,
-0.260845,0.15257857796765334,1.0500000000000001e-05,0.183094293561184,-0.05927,-0.24412572474824534,4e-05,1.9530057979859627,
-0.2608825,-3.9365273115654564,1.3125e-05,0.061031431187061336,-0.05928,0.030515715593530668,5e-05,1.5868172108635947,
-0.2609125,-1.37320720170888,1.3125e-05,1.098565761367104,-0.05928,-2.0750686603600856,5e-05,0.366188587122368,
-0.26095,-4.424778761061948,1.0500000000000001e-05,-0.15257857796765334,-0.05927,-2.1361000915471466,5e-05,1.8004272200183093,
-0.2609825,-4.790967348184315,1.3125e-05,-3.1431187061336585,-0.05928,-2.0445529447665547,4e-05,0.8544400366188587,
-0.2610175,-2.0445529447665547,1.3125e-05,-0.274641440341776,-0.05928,-1.4952700640830028,4e-05,2.5633201098565763,
-0.2610475,-3.0820872749465975,1.3125e-05,-0.3967043027158987,-0.05928,2.2581629539212695,5e-05,1.83094293561184,
-0.261085,-3.5398230088495577,1.0500000000000001e-05,0.42722001830942935,-0.05929,0.5187671650900214,4e-05,0.6408300274641441,
