time_s,wob_N
1626701262.856378,-0.003447
1626701262.998037,-0.004237
1626701263.139708,-0.002394
1626701263.270293,-0.012296
1626701263.411976,-0.042107
1626701263.553666,-0.022303
1626701263.695315,-0.022830
1626701263.836989,-0.004500
1626701263.978655,-0.027728
1626701264.120303,-0.036419
1626701264.261986,-0.002552
1626701264.403645,0.000240
1626701264.545381,-0.018405
1626701264.687077,0.007245
1626701264.817683,0.011353
1626701264.959348,-0.010768
1626701265.101001,-0.037472
1626701265.242682,-0.004974
1626701265.373270,-0.007081
1626701265.514944,-0.016088
1626701265.656600,-0.004448
1626701265.787188,-0.040316
1626701265.917760,-0.038631
1626701266.059413,0.002347
1626701266.201318,-0.007713
1626701266.343136,-0.017457
1626701266.484872,-0.018089
1626701266.626612,-0.010716
1626701266.768378,-0.020407
1626701266.910131,-0.019143
1626701267.064416,-0.034839
1626701267.206092,-0.020934
1626701267.347774,-0.021934
1626701267.489455,-0.014034
1626701267.631136,-0.020565
1626701267.772794,-0.019090
1626701267.914476,-0.020670
1626701268.056160,-0.013402
1626701268.197869,-0.018458
1626701268.339551,-0.014824
1626701268.481221,-0.013086
1626701268.622889,-0.022040
1626701268.764875,-0.012506
1626701268.906584,-0.012822
1626701269.037180,-0.017141
1626701269.178842,-0.022777
1626701269.320544,-0.003868
1626701269.462515,-0.032258
1626701269.604222,-0.016404
1626701269.756991,-0.029045
1626701269.898652,-0.017721
1626701270.040320,-0.017615
1626701270.182178,-0.017141
1626701270.323858,-0.018669
1626701270.465617,-0.020512
1626701270.607293,-0.010558
1626701270.748955,-0.022777
1626701270.879665,-0.014824
1626701271.021353,-0.015140
1626701271.163037,-0.015877
1626701271.304678,-0.010979
1626701271.446329,-0.012296
1626701271.587980,-0.008345
1626701271.729681,-0.011980
1626701271.871372,-0.012243
1626701272.013024,-0.017510
1626701272.154699,-0.019986
1626701272.296362,-0.002446
1626701272.438058,-0.024515
1626701272.579730,-0.012717
1626701272.721404,-0.019617
1626701272.863072,-0.019459
1626701272.993752,-0.032627
1626701273.135450,-0.015140
1626701273.277173,-0.009820
1626701273.418854,-0.013402
1626701273.560491,-0.011506
1626701273.702148,-0.010452
1626701273.843811,-0.011558
1626701273.985478,-0.021829
1626701274.127153,-0.002130
1626701274.275391,-0.007450
1626701274.417998,-0.023989
1626701274.559759,-0.010136
1626701274.701841,-0.016615
1626701274.843624,-0.023146
1626701274.985442,-0.018880
1626701275.127259,-0.032943
1626701275.269045,-0.004816
1626701275.411335,-0.019564
1626701275.553002,-0.010926
1626701275.694681,-0.014613
1626701275.836354,-0.015825
1626701275.978027,-0.022619
1626701276.119687,-0.009609
1626701276.261354,-0.005080
1626701276.403012,-0.025253
1626701276.544695,-0.008661
1626701276.686359,-0.009346
1626701276.828054,0.006666
1626701276.969728,-0.002552
1626701277.111397,0.004717
1626701277.253058,-0.014929
1626701277.383669,-0.031099
1626701277.525796,-0.015667
1626701277.667500,-0.018405
1626701277.809162,-0.020618
1626701277.950855,-0.014982
1626701278.092544,-0.016246
1626701278.234214,0.007877
1626701278.375911,-0.015403
1626701278.517566,-0.016035
1626701278.659227,0.006929
1626701278.800882,-0.017510
1626701278.942551,-0.013402
1626701279.084228,-0.018142
1626701279.225909,-0.024463
1626701279.367744,-0.004658
1626701279.509426,-0.022303
1626701279.651095,-0.014455
1626701279.792737,-0.023567
1626701279.934441,-0.012401
1626701280.076157,-0.008293
1626701280.217821,-0.010558
1626701280.359509,-0.002078
1626701280.501169,-0.026885
1626701280.642818,-0.009504
1626701280.784505,-0.024094
1626701280.926179,-0.005132
1626701281.067856,-0.007397
1626701281.209522,-0.015561
1626701281.362273,-0.012138
1626701281.503924,-0.023620
1626701281.645595,-0.023778
1626701281.798398,-0.002288
1626701281.940070,-0.014403
1626701282.081733,-0.011084
1626701282.223389,-0.019143
1626701282.353980,-0.020460
1626701282.495628,-0.020670
1626701282.637300,0.004717
1626701282.778969,-0.012875
1626701282.909921,-0.038210
1626701283.051598,-0.018405
1626701283.193280,-0.022461
1626701283.334955,0.003558
1626701283.476627,-0.013033
1626701283.618287,-0.029045
1626701283.760114,-0.056276
1626701283.901813,-0.003974
1626701284.043482,-0.014192
1626701284.185211,-0.011611
1626701284.326886,-0.017036
1626701284.468770,-0.018195
1626701284.610448,-0.012032
1626701284.763495,-0.012980
1626701284.916264,0.003137
1626701285.057924,-0.012296
1626701285.199606,-0.012296
1626701285.341280,-0.006081
1626701285.482980,0.001188
1626701285.624668,-0.006186
1626701285.766313,-0.014982
1626701285.919071,-0.011558
1626701286.060730,-0.023620
1626701286.202417,-0.033522
1626701286.344067,-0.005290
1626701286.485701,-0.031942
1626701286.627354,-0.018195
1626701286.769213,-0.010558
1626701286.911269,-0.011558
1626701287.052966,-0.021987
1626701287.194679,-0.015403
1626701287.336361,-0.012822
1626701287.478051,-0.013191
1626701287.619719,-0.031942
1626701287.761570,-0.017194
1626701287.903400,-0.022092
1626701288.056145,-0.022724
1626701288.197853,-0.031995
1626701288.339545,-0.012612
1626701288.481230,-0.034839
1626701288.622887,-0.027676
1626701288.764539,0.012565
1626701288.917347,-0.036577
1626701289.059039,-0.013928
1626701289.200696,-0.015667
1626701289.342391,-0.024884
1626701289.484060,-0.012190
1626701289.625744,-0.025621
1626701289.767546,-0.025411
1626701289.910396,-0.039632
1626701290.052800,-0.022198
1626701290.194545,-0.022566
1626701290.336276,-0.006555
1626701290.489045,-0.005554
1626701290.630713,-0.021197
1626701290.772410,-0.009609
1626701290.914065,-0.019143
1626701291.066855,0.021572
1626701291.208513,-0.024884
1626701291.350188,-0.040896
1626701291.491899,-0.017405
1626701291.633538,-0.020091
1626701291.775291,-0.010031
1626701291.905923,-0.036840
1626701292.047606,-0.017510
1626701292.189267,-0.015614
1626701292.330967,-0.026938
1626701292.472929,-0.014086
1626701292.614648,-0.014982
1626701292.756414,-0.026675
1626701292.898093,-0.019090
1626701293.039771,-0.029203
1626701293.181441,-0.027676
1626701293.323104,-0.025516
1626701293.464782,-0.030256
1626701293.606462,-0.000023
1626701293.748185,-0.019038
1626701293.889841,-0.044003
1626701294.031493,-0.023093
1626701294.173392,-0.034312
1626701294.367930,-0.031942
1626701294.509618,-0.033785
1626701294.696772,-0.036472
1626701294.838725,-0.038526
1626701294.980594,-0.036208
1626701295.122322,-0.036050
1626701295.264250,-0.029308
1626701295.405934,-0.019722
1626701295.547808,-0.034733
1626701295.689479,-0.026464
1626701295.842218,-0.032469
1626701295.983934,-0.027781
1626701296.125757,-0.038578
1626701296.267621,-0.010452
1626701296.409474,-0.030520
1626701296.551210,-0.028308
1626701296.692891,-0.034259
1626701296.834554,-0.020776
1626701296.987295,-0.027939
1626701297.128997,-0.022408
1626701297.270808,-0.041054
1626701297.412673,-0.013349
1626701297.554351,-0.033153
1626701297.696019,-0.027359
1626701297.848764,-0.034417
1626701297.990435,-0.011558
1626701298.132164,-0.037104
1626701298.273985,-0.019459
1626701298.415832,-0.018300
1626701298.557725,-0.027149
1626701298.699444,-0.037946
1626701298.852191,-0.026569
1626701298.993876,-0.024094
1626701299.135560,-0.014244
1626701299.277267,-0.033522
1626701299.419174,-0.024041
1626701299.560956,-0.025516
1626701299.702925,-0.023673
1626701299.844782,-0.019512
1626701299.986670,-0.018616
1626701300.128544,-0.024884
1626701300.281287,-0.003447
1626701300.422966,-0.003026
1626701300.564642,-0.017721
1626701300.706299,-0.034365
1626701300.848371,-0.004290
1626701300.990078,-0.030414
1626701301.131782,-0.022619
1626701301.273619,-0.028360
1626701301.415807,-0.022461
1626701301.557513,-0.036893
1626701301.699380,-0.006660
1626701301.841253,-0.021618
1626701301.982978,-0.027096
1626701302.124715,-0.024989
1626701302.266660,-0.019933
1626701302.408417,-0.033575
1626701302.550074,-0.014455
1626701302.691748,-0.039000
1626701302.833435,-0.016615
1626701302.975343,-0.025200
1626701303.117042,-0.004764
1626701303.258656,-0.037841
1626701303.400472,-0.009820
1626701303.553254,-0.026359
1626701303.695084,-0.021197
1626701303.848265,-0.032469
1626701303.989969,-0.019564
1626701304.131650,-0.027623
1626701304.273321,-0.008925
1626701304.414999,-0.030520
1626701304.556915,-0.041265
1626701304.698613,-0.023093
1626701304.840274,-0.022092
1626701304.981958,-0.030678
1626701305.123616,-0.028782
1626701305.265301,-0.047690
1626701305.406945,-0.041107
1626701305.548608,-0.022619
1626701305.690253,-0.027307
1626701305.831933,-0.023199
1626701305.973595,-0.035471
1626701306.115253,-0.022619
1626701306.268024,-0.018405
1626701306.409691,-0.022198
1626701306.551355,-0.013823
1626701306.693021,-0.032995
1626701306.834710,-0.021460
1626701306.976404,-0.017563
1626701307.118067,-0.010136
1626701307.259736,-0.013770
1626701307.412471,-0.019933
1626701307.554172,-0.036419
1626701307.695962,-0.016088
1626701307.837625,-0.029730
1626701307.990448,-0.031889
1626701308.132143,-0.033522
1626701308.273827,-0.029308
1626701308.415476,-0.043529
1626701308.557143,-0.033206
1626701308.698817,-0.026306
1626701308.840477,-0.017773
1626701308.982144,-0.015140
1626701309.134881,-0.029045
1626701309.265494,-0.041001
1626701309.407152,-0.003447
1626701309.548821,-0.038789
1626701309.690513,-0.005027
1626701309.832169,-0.022408
1626701309.973875,-0.025674
1626701310.115861,-0.039474
1626701310.268641,-0.013402
1626701310.410386,-0.030941
1626701310.563198,-0.018037
1626701310.704893,-0.027412
1626701310.846600,-0.035260
1626701310.988266,-0.027834
1626701311.129929,-0.053800
1626701311.271592,-0.003236
1626701311.413280,-0.031046
1626701311.555174,-0.025779
1626701311.696862,-0.025358
1626701311.838689,-0.014771
1626701311.980344,-0.019090
1626701312.122008,-0.024884
1626701312.263718,-0.025358
1626701312.405600,-0.039684
1626701312.547265,-0.052483
1626701312.688918,-0.007345
1626701312.830590,-0.065704
1626701312.983335,-0.027201
1626701313.125043,0.001609
1626701313.266709,-0.030678
1626701313.408819,-0.025411
1626701313.550549,-0.027254
1626701313.692224,-0.034049
1626701313.833891,-0.023040
1626701313.964569,-0.043529
1626701314.106225,-0.020881
1626701314.247928,-0.035523
1626701314.389599,-0.037104
1626701314.531294,-0.026675
1626701314.661887,-0.038473
1626701314.814622,-0.015772
1626701314.956268,-0.031942
1626701315.109029,-0.027623
1626701315.250695,-0.035997
1626701315.381287,-0.034628
1626701315.522933,-0.053063
1626701315.664987,-0.023251
1626701315.795644,-0.039210
1626701315.937315,-0.044425
1626701316.078999,-0.035207
1626701316.220660,-0.037946
1626701316.362326,-0.035892
1626701316.504019,-0.055486
1626701316.645677,-0.042845
1626701316.787454,-0.048059
1626701316.929308,-0.048006
1626701317.071144,-0.052852
1626701317.212867,-0.017984
1626701317.354771,-0.036261
1626701317.507596,-0.028044
1626701317.649310,-0.032837
1626701317.791009,-0.039790
1626701317.932711,-0.022040
1626701318.074450,-0.026306
1626701318.216149,-0.022566
1626701318.357840,-0.030046
1626701318.510613,-0.026675
1626701318.663648,-0.040158
1626701318.816708,-0.043582
1626701318.958429,-0.028308
1626701319.111510,-0.031310
1626701319.253506,-0.018458
1626701319.395215,-0.019722
1626701319.547963,-0.026043
1626701319.700818,-0.046216
1626701319.831472,-0.036155
1626701319.973154,-0.039474
1626701320.114836,-0.025621
1626701320.256528,-0.028571
1626701320.409654,-0.009030
1626701320.551388,-0.042318
1626701320.693046,-0.013560
1626701320.823630,-0.091091
1626701320.965285,-0.031942
1626701321.107172,-0.040264
1626701321.248853,-0.034628
1626701321.390515,-0.031942
1626701321.532198,-0.035629
1626701321.673903,-0.034839
1626701321.815635,-0.035260
1626701321.957466,-0.028255
1626701322.088359,-0.016615
1626701322.230303,-0.034417
1626701322.372008,-0.027043
1626701322.524767,-0.037209
1626701322.666476,-0.019617
1626701322.808146,-0.033627
1626701322.949830,-0.032469
1626701323.091799,-0.029308
1626701323.233881,-0.025042
1626701323.420827,-0.007345
1626701323.573611,-0.019143
1626701323.726460,-0.032416
1626701323.868128,-0.037314
1626701324.009804,-0.025674
1626701324.162598,-0.029624
1626701324.304294,-0.027149
1626701324.445995,-0.019406
1626701324.587651,-0.043740
1626701324.729324,-0.032627
1626701324.871072,-0.027201
1626701325.024154,-0.030572
1626701325.165963,-0.041528
1626701325.307944,-0.028202
1626701325.449644,-0.031257
1626701325.591358,-0.025147
1626701325.744176,-0.023462
1626701325.877424,-0.031995
1626701326.030345,-0.024041
1626701326.183374,-0.047848
1626701326.303229,-0.039000
1626701326.445107,-0.048480
1626701326.586890,-0.013876
1626701326.728644,-0.040738
1626701326.870354,-0.025305
1626701327.012064,-0.031257
1626701327.165103,-0.059541
1626701327.306805,-0.043898
1626701327.448476,-0.026095
1626701327.590137,-0.031257
1626701327.732101,-0.036050
1626701327.884833,-0.047690
1626701328.015545,-0.045057
1626701328.168345,-0.030730
1626701328.310079,-0.030520
1626701328.462865,-0.055749
1626701328.615607,-0.047638
1626701328.757285,-0.030414
1626701328.898961,-0.022566
1626701329.040650,-0.044056
1626701329.193680,-0.028729
1626701329.335386,-0.030625
1626701329.477062,-0.030994
1626701329.618717,-0.040000
1626701329.760868,-0.043055
1626701329.891549,-0.025411
1626701330.033291,-0.030414
1626701330.186189,-0.038157
1626701330.327925,-0.029098
1626701330.469794,-0.038157
1626701330.600394,-0.028676
1626701330.742076,-0.023146
1626701330.883734,-0.036050
1626701331.025442,-0.024041
1626701331.167113,-0.059699
1626701331.319844,-0.012928
1626701331.461764,-0.031678
1626701331.603424,-0.028308
1626701331.756199,-0.024147
1626701331.897888,-0.031573
1626701332.028582,-0.029256
1626701332.170270,-0.043845
1626701332.312229,-0.028044
1626701332.443148,-0.040000
1626701332.584845,-0.031836
1626701332.726558,-0.028571
1626701332.868267,-0.024041
1626701333.009936,-0.034628
1626701333.151624,-0.022356
1626701333.293321,-0.046268
1626701333.435031,-0.032785
1626701333.576755,-0.040053
1626701333.718426,-0.037104
1626701333.860077,-0.032521
1626701334.001770,-0.035997
1626701334.132340,-0.030467
1626701334.274309,-0.007292
1626701334.427487,-0.044951
1626701334.558669,-0.034417
1626701334.700389,-0.023462
1626701334.842080,-0.036840
1626701334.983764,-0.033891
1626701335.125775,-0.043161
1626701335.267739,-0.028729
1626701335.398392,-0.035629
1626701335.529318,-0.033153
1626701335.671035,-0.038578
1626701335.812689,-0.035734
1626701335.954347,-0.031731
1626701336.096002,-0.027412
1626701336.237717,-0.022461
1626701336.390454,-0.034839
1626701336.532119,-0.039474
1626701336.673766,-0.039368
1626701336.815415,-0.029888
1626701336.968144,-0.034365
1626701337.109799,-0.038473
1626701337.251508,-0.049481
1626701337.393207,-0.030678
1626701337.534897,-0.026306
1626701337.676605,-0.043161
1626701337.818581,-0.015877
1626701337.971332,-0.016193
1626701338.113323,-0.009925
1626701338.255018,-0.059910
1626701338.407784,-0.031204
1626701338.538671,-0.048217
1626701338.680559,-0.035313
1626701338.822225,-0.036630
1626701338.964104,-0.031678
1626701339.105785,-0.028308
1626701339.247451,-0.037104
1626701339.378267,-0.034049
1626701339.531031,-0.035471
1626701339.672670,-0.031099
1626701339.814379,-0.025516
1626701339.956050,-0.039632
1626701340.097745,-0.018511
1626701340.239617,-0.018827
1626701340.381345,-0.023567
1626701340.523000,-0.028834
1626701340.664658,-0.030783
1626701340.851599,-0.045689
1626701340.993295,-0.030098
1626701341.134948,-0.025937
1626701341.276605,-0.022092
1626701341.407270,-0.028940
1626701341.538035,-0.047058
1626701341.679711,-0.041686
1626701341.821408,-0.045268
1626701341.963054,-0.036050
1626701342.104736,-0.039790
1626701342.246398,-0.027096
1626701342.377484,-0.055696
1626701342.519293,-0.037472
1626701342.660957,-0.032943
1626701342.802639,-0.034470
1626701342.944339,-0.035945
1626701343.086005,-0.028150
1626701343.227682,-0.034523
1626701343.380814,-0.050851
1626701343.522684,-0.028202
1626701343.664541,-0.022566
1626701343.795335,-0.063544
1626701343.937057,-0.029677
1626701344.078768,-0.060647
1626701344.220451,-0.057066
1626701344.362122,-0.042950
1626701344.515208,-0.059015
1626701344.656911,-0.032785
1626701344.798603,-0.035049
1626701344.940263,-0.047532
1626701345.081925,-0.020354
1626701345.223587,-0.042476
1626701345.354487,-0.033048
1626701345.485284,-0.041423
1626701345.615918,-0.042845
1626701345.757650,-0.043582
1626701345.899359,-0.049060
1626701346.041188,-0.033996
1626701346.194350,-0.014508
1626701346.336457,-0.050640
1626701346.478659,-0.036472
1626701346.620533,-0.033048
1626701346.762566,-0.030098
1626701346.915490,-0.031626
1626701347.057512,-0.035155
1626701347.255663,-0.031046
1626701347.386344,-0.054169
1626701347.517262,-0.032047
1626701347.659294,-0.026991
1626701347.790000,-0.039158
1626701347.942733,-0.053010
1626701348.084587,-0.050008
1626701348.226612,-0.037736
1626701348.368269,-0.035787
1626701348.499222,-0.072340
1626701348.641194,-0.045426
1626701348.783277,-0.032837
1626701348.925217,-0.044741
1626701349.067103,-0.048006
1626701349.209155,-0.051851
1626701349.351052,-0.037104
1626701349.493271,-0.037472
1626701349.646077,-0.032521
1626701349.787808,-0.040474
1626701349.930383,-0.042107
1626701350.061386,-0.053589
1626701350.181067,-0.058066
1626701350.333976,-0.042002
1626701350.475965,-0.034786
1626701350.629010,-0.048428
1626701350.759830,-0.036735
1626701350.890499,-0.032416
1626701351.032258,-0.021776
1626701351.163228,-0.060805
1626701351.294301,-0.015877
1626701351.425522,-0.037262
1626701351.578613,-0.040422
1626701351.731414,-0.043161
1626701351.873163,-0.035418
1626701352.003979,-0.043845
1626701352.134767,-0.028202
1626701352.276693,-0.037894
1626701352.407743,-0.066915
1626701352.560760,-0.043898
1626701352.691605,-0.042950
1626701352.833539,-0.048006
1626701352.975458,-0.045320
1626701353.128552,-0.040000
1626701353.281570,-0.032627
1626701353.445835,-0.041897
1626701353.587619,-0.039105
1626701353.740669,-0.041844
1626701353.893738,-0.046374
1626701354.046785,-0.047111
1626701354.177731,-54.178506
1626701354.319572,-0.036472
1626701354.472696,-0.036577
1626701354.614830,-0.027992
1626701354.756854,-0.034839
1626701354.898507,-0.050113
1626701355.040471,-0.040949
1626701355.171343,-0.037525
1626701355.313200,-0.032837
1626701355.454939,-0.026201
1626701355.596780,-0.025937
1626701355.727443,-0.035207
1626701355.858530,-0.026253
1626701356.000423,-0.036577
1626701356.142380,-0.067547
1626701356.284348,-0.040264
1626701356.437154,-0.030520
1626701356.578892,-0.037314
1626701356.720635,-0.036893
1626701356.862580,-0.062912
1626701356.993239,-0.060015
1626701357.146310,-0.037841
1626701357.288032,-0.037736
1626701357.441051,-0.041265
1626701357.593938,-0.032047
1626701357.746938,-0.033153
1626701357.923272,1.052179
1626701358.076555,-0.044793
1626701358.218294,-0.039842
1626701358.371092,-0.041475
1626701358.535112,-0.041370
1626701358.688066,-0.047901
1626701358.829902,-0.029098
1626701358.971811,-0.043687
1626701359.102479,-0.065230
1626701359.233227,-0.038842
1626701359.364109,-0.064334
1626701359.494739,-0.041317
1626701359.647668,-0.040949
1626701359.778270,-0.043477
1626701359.931211,-0.040053
1626701360.073244,-0.062017
1626701360.215442,-0.033943
1626701360.346106,-0.051799
1626701360.488002,-0.032890
1626701360.629679,-0.033943
1626701360.771553,-0.037314
1626701360.902337,-0.062385
1626701361.044336,-0.042581
1626701361.186044,-0.041581
1626701361.316776,-0.043951
1626701361.458752,-0.030941
1626701361.589415,-0.038894
1626701361.720435,-0.030572
1626701361.862632,-0.045900
1626701362.004796,-0.051167
1626701362.157585,-0.026727
1626701362.299266,-0.049007
1626701362.452186,-0.033891
1626701362.594204,-0.053748
1626701362.747096,-0.024147
1626701362.888827,-0.042423
1626701363.019582,-0.061174
1626701363.172501,-0.026727
1626701363.314522,-0.041949
1626701363.467522,-0.043793
1626701363.620333,-0.071023
1626701363.740173,-0.059331
1626701363.871009,-0.051167
1626701363.990792,-0.032521
1626701364.143847,-0.033259
1626701364.274987,-0.047690
1626701364.427858,-0.037104
1626701364.580600,-0.029256
1626701364.722605,-0.033680
1626701364.853518,-0.045794
1626701364.995220,-0.032732
1626701365.136984,-0.044109
1626701365.278861,-0.032205
1626701365.431998,-0.047532
1626701365.562869,-0.055644
1626701365.704767,-0.038736
1626701365.846762,-0.042950
1626701365.988540,-0.056118
1626701366.141565,-0.034681
1626701366.272365,-0.051957
1626701366.425190,-0.052694
1626701366.577917,-0.055749
1626701366.730733,-0.050482
1626701366.872620,-0.054116
1626701367.014617,-0.040843
1626701367.156647,-0.034523
1626701367.298393,-0.045215
1626701367.440279,-0.037314
1626701367.581958,-0.044161
1626701367.712630,-0.031942
1626701367.854589,-0.043951
1626701367.985521,-0.043740
1626701368.127378,-0.055222
1626701368.280364,-0.032785
1626701368.422146,-0.051693
1626701368.563966,-0.048059
1626701368.716973,-0.038842
1626701368.859072,-0.040316
1626701369.012070,-0.042423
1626701369.165055,-0.023093
1626701369.318065,-0.061964
1626701369.448858,-0.047058
1626701369.579782,-0.035892
1626701369.744372,-0.041844
1626701369.897415,-0.059647
1626701370.039493,-0.045373
1626701370.181447,-0.072867
1626701370.323125,-0.026253
1626701370.453930,-0.033733
1626701370.595673,-0.043687
1626701370.748707,-0.034101
1626701370.879704,-0.046532
1626701371.032665,-0.044688
1626701371.174833,-0.041265
