Time [s], CPU Temperature [degC], PWM command, Current [mA], Active Power [W]
1626701877.3218887, 38.946, 0.75, 729.5425415039062, 61.15754318237305
1626701877.3870306, 38.459, 0.75, 729.5425415039062, 61.15754318237305
1626701877.4552813, 39.433, 0.75, 729.5425415039062, 61.15754318237305
1626701877.51499, 38.946, 0.75, 729.5425415039062, 61.15754318237305
1626701877.5781817, 39.433, 0.75, 723.7711181640625, 60.252296447753906
1626701877.64171, 38.459, 0.75, 723.7711181640625, 60.252296447753906
1626701877.704988, 39.92, 0.75, 723.7711181640625, 60.252296447753906
1626701877.76994, 39.433, 0.75, 723.7711181640625, 60.252296447753906
1626701877.8348079, 39.433, 0.75, 723.7711181640625, 60.252296447753906
1626701877.8981583, 39.433, 0.75, 723.7711181640625, 60.252296447753906
1626701877.9622915, 39.92, 0.75, 723.7711181640625, 60.252296447753906
1626701878.0262678, 39.92, 0.75, 723.7711181640625, 60.252296447753906
1626701878.0899162, 39.92, 0.75, 723.7711181640625, 60.252296447753906
1626701878.1547143, 39.433, 0.75, 723.7711181640625, 60.252296447753906
1626701878.2190502, 38.459, 0.75, 723.7711181640625, 60.252296447753906
1626701878.2825413, 39.92, 0.75, 723.7711181640625, 60.252296447753906
1626701878.345662, 39.92, 0.75, 723.7711181640625, 60.252296447753906
1626701878.4101012, 38.459, 0.75, 727.45849609375, 60.280033111572266
1626701878.4729133, 38.946, 0.75, 727.45849609375, 60.280033111572266
1626701878.5384393, 38.946, 0.75, 727.45849609375, 60.280033111572266
1626701878.601992, 39.433, 0.75, 727.45849609375, 60.280033111572266
1626701878.6666126, 38.946, 0.75, 727.45849609375, 60.280033111572266
1626701878.730071, 38.946, 0.75, 727.45849609375, 60.280033111572266
1626701878.793105, 39.433, 0.75, 727.45849609375, 60.280033111572266
1626701878.8573005, 39.433, 0.75, 727.45849609375, 60.280033111572266
1626701878.9210799, 40.407, 0.75, 727.45849609375, 60.280033111572266
1626701878.9866583, 38.946, 0.75, 727.45849609375, 60.280033111572266
1626701879.0543396, 38.946, 0.75, 727.45849609375, 60.280033111572266
1626701879.1136959, 40.407, 0.75, 727.45849609375, 60.280033111572266
1626701879.1775794, 38.946, 0.75, 727.45849609375, 60.280033111572266
1626701879.2414126, 38.459, 0.75, 727.45849609375, 60.280033111572266
1626701879.3055093, 38.459, 0.75, 731.5008544921875, 60.71152877807617
1626701879.3690522, 39.92, 0.75, 731.5008544921875, 60.71152877807617
1626701879.4331322, 39.433, 0.75, 731.5008544921875, 60.71152877807617
1626701879.4973261, 39.433, 0.75, 731.5008544921875, 60.71152877807617
1626701879.5607274, 39.92, 0.75, 731.5008544921875, 60.71152877807617
1626701879.6257079, 39.92, 0.75, 731.5008544921875, 60.71152877807617
1626701879.6887434, 39.433, 0.75, 731.5008544921875, 60.71152877807617
1626701879.753112, 40.407, 0.75, 731.5008544921875, 60.71152877807617
1626701879.816182, 39.92, 0.75, 731.5008544921875, 60.71152877807617
1626701879.8812788, 38.946, 0.75, 731.5008544921875, 60.71152877807617
1626701879.9452095, 40.407, 0.75, 731.5008544921875, 60.71152877807617
1626701880.0086944, 38.946, 0.75, 731.5008544921875, 60.71152877807617
1626701880.0729628, 39.433, 0.75, 731.5008544921875, 60.71152877807617
1626701880.1371732, 40.407, 0.75, 720.3561401367188, 60.25245666503906
1626701880.2019203, 38.459, 0.75, 720.3561401367188, 60.25245666503906
1626701880.265259, 38.459, 0.75, 720.3561401367188, 60.25245666503906
1626701880.3292425, 39.92, 0.75, 720.3561401367188, 60.25245666503906
1626701880.3929238, 39.433, 0.75, 720.3561401367188, 60.25245666503906
